calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2016,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.416667,0.063478,False,ICIR,ICIR,-0.41833
v1,2016,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.916667,0.056164,False,ICIR,ICIR,1.243033
v1,2016,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.112312,False,ICIR,ICIR,0.966598
v1,2017,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.916667,0.048182,False,ICIR,ICIR,1.254583
v1,2017,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.024004,False,ICIR,ICIR,0.858073
v1,2017,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.032107,False,ICIR,ICIR,1.325919
v1,2017,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.068996,False,ICIR,ICIR,0.203273
v1,2017,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.833333,0.045338,False,ICIR,ICIR,0.809301
v1,2017,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.076717,False,ICIR,ICIR,1.058787
v1,2018,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.052081,False,ICIR,ICIR,0.769702
v1,2018,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,1.0,0.010704,False,ICIR,ICIR,1.593299
v1,2018,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.05411,False,ICIR,ICIR,0.408348
v1,2018,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.666667,0.103341,False,ICIR,ICIR,0.23475
v1,2018,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.583333,0.052704,False,ICIR,ICIR,0.692845
v1,2018,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.113678,False,ICIR,ICIR,0.712332
v1,2019,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.75,0.042633,False,ICIR,ICIR,0.685858
v1,2019,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.021545,False,ICIR,ICIR,1.039992
v1,2019,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.064668,False,ICIR,ICIR,0.563457
v1,2019,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.089277,False,ICIR,ICIR,-0.054393
v1,2019,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.583333,0.047857,False,ICIR,ICIR,0.414164
v1,2019,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.082532,False,ICIR,ICIR,0.703644
v1,2020,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.75,0.051505,False,ICIR,ICIR,0.528023
v1,2020,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.014828,False,ICIR,ICIR,1.065107
v1,2020,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.75,0.062489,False,ICIR,ICIR,0.509879
v1,2020,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.093953,False,ICIR,ICIR,-0.072648
v1,2020,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.5,0.055864,False,ICIR,ICIR,0.078716
v1,2020,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.081962,False,ICIR,ICIR,0.935544
v1,2021,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.583333,0.075752,False,ICIR,ICIR,0.62066
v1,2021,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.015565,False,ICIR,ICIR,1.136007
v1,2021,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.5,0.044293,False,ICIR,ICIR,-0.094335
v1,2021,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.416667,0.079654,False,ICIR,ICIR,-0.407789
