date_id,factor_code,calc_version,universe_count,valid_count,coverage,rank_ic_1m,icir_1m,rank_ic_3m,icir_3m,rank_ic_6m,icir_6m,raw_rank_ic_1m,raw_icir_1m,raw_rank_ic_3m,raw_icir_3m,raw_rank_ic_6m,raw_icir_6m
20150630,earnings_accel_2q_avg,v1,1501,1449,0.965356,0.055077,0.390516,0.035088,0.500094,0.045257,0.643093,0.093044,0.302138,0.070126,0.413515,0.085674,0.553727
20150630,ep_ttm,v1,1501,1501,1.0,0.213138,0.568577,0.215314,0.689126,0.135565,0.867502,0.289598,0.261088,0.276543,0.3145,0.014407,0.349007
20150630,fcfe_to_equity,v1,1501,1442,0.960693,-0.024911,0.234265,-0.015292,0.191946,-0.023366,0.360807,-0.050321,0.13394,-0.051199,0.067703,-0.029681,0.175798
20150630,mom_6_1,v1,1501,1494,0.995336,0.065457,-0.154818,-0.014767,-0.146149,0.086408,-0.096459,0.092441,-0.104167,-0.005025,-0.000672,0.267424,0.066693
20150630,profit_growth_yoy,v1,1501,1501,1.0,0.059859,0.318454,0.034082,0.310166,0.084164,0.237776,0.147977,0.225454,0.103754,0.208703,0.096869,0.146901
20150630,revenue_growth_yoy,v1,1501,1501,1.0,0.091714,0.307739,0.082455,0.304057,0.08021,0.244405,0.195321,0.185214,0.165859,0.156902,0.172831,0.085729
20150630,reversal_1m,v1,1501,1501,1.0,0.275544,0.624879,0.263188,0.555557,0.245595,0.490022,0.282109,0.423724,0.239643,0.440815,0.378067,0.34638
20150630,reversal_3y_6m,v1,1501,1353,0.901399,-0.023958,0.195368,-0.037432,0.454155,-0.042818,0.764196,-0.165027,0.105354,-0.126813,0.329672,-0.128702,0.6174
20150630,roe_stability_12q,v1,1501,1428,0.951366,0.053831,0.443852,0.084338,0.619553,0.048739,0.796442,0.092979,0.341148,0.148108,0.416029,0.126678,0.516131
20150630,roe_ttm_12q_avg,v1,1501,1428,0.951366,0.149528,0.3794,0.163474,0.43613,0.101687,0.571549,0.253772,0.150694,0.249604,0.140762,0.045764,0.150848
20150630,sp_ttm,v1,1501,1501,1.0,0.023661,0.485371,0.075038,0.769197,-0.072349,1.000664,-0.00674,0.252492,0.057966,0.43479,-0.215917,0.573979
20150630,turnover_126d,v1,1501,1501,1.0,0.066935,0.775957,0.107535,1.39458,0.084525,1.713114,0.141107,0.321295,0.148739,0.532075,-0.087295,0.620675
20150630,turnover_21d,v1,1501,1501,1.0,0.105402,0.954622,0.142408,1.69456,0.140106,1.976091,0.21271,0.463791,0.199435,0.716867,0.015316,0.808131
20150630,volatility_252d,v1,1501,1501,1.0,0.049604,0.640687,0.133955,1.166378,0.04844,1.571596,0.036168,0.346019,0.147497,0.632278,-0.030093,0.794059
20150731,accruals,v1,1479,1426,0.964165,0.058055,0.357892,0.047228,0.72855,0.077307,1.215305,0.096012,0.211417,-0.013519,0.49856,0.046438,0.838447
20150731,bp_mrq,v1,1479,1479,1.0,0.146129,0.61027,-0.053407,0.919814,0.085688,1.145666,0.3076,0.28927,-0.123942,0.481868,0.060839,0.612919
20150731,cfp_ttm,v1,1479,1426,0.964165,0.080264,0.674564,-0.007229,1.017288,0.095714,1.428307,0.186074,0.271694,-0.085606,0.457473,0.030988,0.619696
20150731,div_yield_ttm,v1,1479,1479,1.0,0.088638,0.629696,0.019384,0.872906,0.092229,1.165816,0.133298,0.250628,-0.073516,0.366375,-0.00999,0.505118
20150731,earnings_accel_2q_avg,v1,1479,1425,0.963489,-0.056267,0.390516,0.025552,0.500094,0.047278,0.643093,-0.1172,0.302138,0.022251,0.413515,0.049145,0.553727
20150731,ep_ttm,v1,1479,1479,1.0,0.09122,0.568577,-0.013481,0.689126,0.110017,0.867502,0.168009,0.261088,-0.103929,0.3145,0.005227,0.349007
20150731,fcfe_to_equity,v1,1479,1422,0.96146,-0.018621,0.234265,0.010882,0.191946,0.001413,0.360807,-0.030975,0.13394,0.019845,0.067703,0.031202,0.175798
20150731,mom_6_1,v1,1479,1476,0.997972,-0.152196,-0.154818,-0.029692,-0.146149,-0.094023,-0.096459,-0.211688,-0.104167,0.021657,-0.000672,-0.082247,0.066693
20150731,profit_growth_yoy,v1,1479,1479,1.0,-0.070474,0.318454,0.031312,0.310166,0.04054,0.237776,-0.083413,0.225454,0.006391,0.208703,0.005393,0.146901
20150731,revenue_growth_yoy,v1,1479,1479,1.0,-0.053404,0.307739,0.017886,0.304057,0.045263,0.244405,-0.110764,0.185214,0.048854,0.156902,0.05193,0.085729
20150731,reversal_1m,v1,1479,1479,1.0,0.10362,0.624879,0.137519,0.555557,0.095258,0.490022,0.133268,0.423724,0.212104,0.440815,0.197792,0.34638
20150731,reversal_3y_6m,v1,1479,1363,0.921569,0.072372,0.195368,-0.096341,0.454155,0.008972,0.764196,0.184592,0.105354,-0.11477,0.329672,0.087623,0.6174
20150731,roe_stability_12q,v1,1479,1405,0.949966,0.00055,0.443852,0.048265,0.619553,0.037945,0.796442,-0.009812,0.341148,0.105039,0.416029,0.065967,0.516131
20150731,roe_ttm_12q_avg,v1,1479,1405,0.949966,0.032559,0.3794,0.013038,0.43613,0.073157,0.571549,0.04886,0.150694,-0.058223,0.140762,-0.012618,0.150848
20150731,sp_ttm,v1,1479,1479,1.0,0.138867,0.485371,-0.049926,0.769197,0.026959,1.000664,0.273717,0.252492,-0.128736,0.43479,-0.02509,0.573979
20150731,turnover_126d,v1,1479,1479,1.0,0.038809,0.775957,-0.016117,1.39458,0.076007,1.713114,0.112861,0.321295,-0.210154,0.532075,-0.042089,0.620675
20150731,turnover_21d,v1,1479,1479,1.0,0.109174,0.954622,0.012406,1.69456,0.118409,1.976091,0.193651,0.463791,-0.16785,0.716867,-0.002771,0.808131
20150731,volatility_252d,v1,1479,1479,1.0,0.063451,0.640687,-0.086795,1.166378,0.137257,1.571596,0.174953,0.346019,-0.146825,0.632278,0.147713,0.794059
20150831,accruals,v1,1511,1458,0.964924,-0.026845,0.357892,-0.030718,0.72855,0.037813,1.215305,-0.042866,0.211417,-0.096964,0.49856,0.010724,0.838447
20150831,bp_mrq,v1,1511,1511,1.0,0.006171,0.61027,-0.056001,0.919814,0.063046,1.145666,-0.145253,0.28927,-0.239453,0.481868,-0.026549,0.612919
